ID,Restaurant,Address,Time,Price,District,min_price,max_price,avg_price,negative_deliver,negative_food,negative_price,negative_staff,negative_store,neutral_deliver,neutral_food,neutral_price,neutral_staff,neutral_store,positive_deliver,positive_food,positive_price,positive_staff,positive_store,Rating
1,Gà Rán & Burger McDonald's Đa Kao,"2 - 6 Bis Điện Biên Phủ, Quận 1, TP. HCM",00:00 - 23:59,50.000 - 200.000,Quận 1,50000,200000,125000.0,1,21,0,1,1,0,8,0,0,0,1,67,0,0,0,6.007999999999999
2,Cháo Trắng - Cháo Thịt Bằm BK House - Phạm Viết Chánh,"112B Phạm Viết Chánh, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",00:00 - 23:59,5.000 - 40.000,Quận 1,5000,40000,22500.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.2
3,Texas Chicken - Nguyễn Thái Học,"115 Nguyễn Thái Học , Quận 1, TP. HCM",,30.000 - 300.000,Quận 1,30000,300000,165000.0,0,13,0,2,0,1,8,0,0,0,0,75,0,1,0,6.178
4,Bếp Chay 365,"Tầng 1, 35 Nguyễn Văn Tráng, P. Bến Thành, Quận 1, TP. HCM",,15.000 - 50.000,Quận 1,15000,50000,32500.0,0,2,0,0,0,0,3,0,0,0,0,9,0,0,0,5.5
5,Bánh Canh Cua Linh,"80A Điện Biên Phủ, P. Đa Kao, Quận 1, TP. HCM",06:20 - 22:00,25.000 - 35.000,Quận 1,25000,35000,30000.0,0,2,0,0,0,0,3,0,0,0,0,15,0,0,0,7.25
6,Bún Đậu Mạc Văn Khoa - Trần Quang Khải,"90 Trần Quang Khải, P. Tân Định, Quận 1, TP. HCM",,45.000 - 140.000,Quận 1,45000,140000,92500.0,0,2,0,0,0,1,0,0,1,0,0,10,0,0,0,5.071428571428571
7,Bún Riêu Cua Ốc Phang Rang Ninh Thuận - Nguyễn Thái Bình,"66 Nguyễn Thái Bình, P. Nguyễn Thái Bình, Quận 1, TP. HCM",06:30 - 21:30,35.000 - 55.000,Quận 1,35000,55000,45000.0,0,7,0,2,0,0,4,0,0,0,0,86,1,0,0,7.346
8,Há Cảo Đặc Biệt Nhà Thờ Đức Bà,"86 Nguyễn Du, Quận 1, TP. HCM",,5.000 - 20.000,Quận 1,5000,20000,12500.0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8.299999999999999
9,Gà Rán KFC - Nguyễn Văn Giai,"2 Nguyễn Huy Tự, P. Đa Kao, Quận 1, TP. HCM",,30.000 - 88.000,Quận 1,30000,88000,59000.0,0,3,0,0,0,0,7,0,0,0,0,15,0,0,0,6.928
11,"Home Mì - Mì Ý, Salad & Gà Chiên - Shop Online","65A Cách Mạng Tháng 8, P. Bến Thành, Quận 1, TP. HCM",,27.000 - 100.000,Quận 1,27000,100000,63500.0,0,1,0,0,0,0,4,0,0,0,0,39,0,1,0,9.466666666666667
12,Chè Ngon Cô Ba - Cô Giang,"176 Cô Giang, P. Cô Giang, Quận 1, TP. HCM",,15.000 - 100.000,Quận 1,15000,100000,57500.0,0,1,0,0,0,0,1,0,0,0,0,5,0,0,0,7.828571428571428
13,Geylang By Night - Cháo Ếch Singapore & Món Xào,"25 Cô Bắc, P. Cầu Ông Lãnh, Quận 1, TP. HCM",,10.000 - 100.000,Quận 1,10000,100000,55000.0,0,6,0,0,0,0,1,2,0,0,0,30,0,0,0,6.825641025641025
14,Hẻm Fast Food - Món Hàn Quốc - Nguyễn Cư Trinh,"75 Nguyễn Cư Trinh, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",,10.000 - 100.000,Quận 1,10000,100000,55000.0,0,15,0,0,0,0,9,0,0,0,0,75,1,0,0,6.62
15,HỦ TÍU NAM VANG DÌ SƯƠNG,"60 Tôn Thất Đạm, P. Bến Nghé, Quận 1, TP. HCM",,10.000 - 100.000,Quận 1,10000,100000,55000.0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10.0
16,Quán Nem - Nem Cua Biển & Bún Chả - Nguyễn Thị Minh Khai,"15E Nguyễn Thị Minh Khai, P. Bến Nghé, Quận 1, TP. HCM",,20.000 - 60.000,Quận 1,20000,60000,40000.0,0,6,0,1,0,1,8,1,0,0,0,83,0,0,0,6.574
17,Marukame Udon - Udon & Tempura - Hai Bà Trưng,"342 - 344 Hai Bà Trưng, P. Tân Định, Quận 1, TP. HCM",,60.000 - 300.000,Quận 1,60000,300000,180000.0,0,7,0,0,0,2,4,0,0,0,0,86,0,0,1,7.432
18,Xôi Gà Tân Định 310 - Hai Bà Trưng,"297 Hai Bà Trưng, P. Tân Định, Quận 1, TP. HCM",,15.000 - 25.000,Quận 1,15000,25000,20000.0,0,24,0,0,0,0,13,0,0,0,1,51,0,0,0,5.835955056179775
19,Bò Bía Lý,"120E Đinh Tiên Hoàng, P. Đa Kao, Quận 1, TP. HCM",,5.000 - 5.000,Quận 1,5000,5000,5000.0,0,0,0,0,0,0,3,0,0,0,1,95,1,0,0,7.207999999999999
20,Nem Nướng D'ran - Since 1968 - Nguyễn Thị Minh Khai,"17/7B Nguyễn Thị Minh Khai, P. Bến Nghé, Quận 1, TP. HCM",,40.000 - 70.000,Quận 1,40000,70000,55000.0,0,0,0,0,0,0,1,0,0,0,0,99,0,0,0,9.216000000000001
21,Cu Sữa - Hot Dog,"59 Nguyễn Du, P. Bến Nghé, Quận 1, TP. HCM",,10.000 - 20.000,Quận 1,10000,20000,15000.0,0,4,0,0,0,0,0,0,0,0,0,17,0,0,0,6.457142857142857
22,Bánh Mì Chim Chạy - Nguyễn Thị Minh Khai,"147D Nguyễn Thị Minh Khai, P. Phạm Ngũ Lão, Quận 1, TP. HCM",06:00 - 20:00,15.000 - 30.000,Quận 1,15000,30000,22500.0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,6.8
23,Marukame Udon - Udon & Tempura - Lý Tự Trọng,"215 Lý Tự Trọng, P. Bến Thành, Quận 1, TP. HCM",,60.000 - 300.000,Quận 1,60000,300000,180000.0,0,3,0,0,0,0,6,0,0,0,0,90,0,1,0,7.282
24,Kem Bơ - Trái Cây Tô 251 - Nguyễn Thị Minh Khai,"18A Nguyễn Thị Minh Khai, P. Đa Kao, Quận 1, TP. HCM",,10.000 - 25.000,Quận 1,10000,25000,17500.0,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,6.7
25,LALA Salad - Healthy Food - Nguyễn Cảnh Chân,"TK33/23 Nguyễn Cảnh Chân, P. Cầu Kho, Quận 1, TP. HCM",,25.000 - 200.000,Quận 1,25000,200000,112500.0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,8.8
26,Chè Khúc Bạch Thanh - Trần Quang Khải,"68/210 Trần Quang Khải, P. Tân Định, Quận 1, TP. HCM",,20.000 - 33.000,Quận 1,20000,33000,26500.0,0,5,0,0,0,0,11,0,0,0,0,83,0,1,0,7.476
27,Phú Bến Tre - Hủ Tiếu Mực & Bún Thái Hải Sản,"2Bis Mai Thị Lựu, P. Dakao, Quận 1, TP. HCM",06:30 - 21:00,30.000 - 50.000,Quận 1,30000,50000,40000.0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7.55
28,"Chú Phúc - Mì Xào, Nui Xào & Cơm Chiên","Hẻm Công Viên 173 Hoàng Sa, P. Tân Định, Quận 1, TP. HCM, Quận 1, TP. HCM",,35.000 - 50.000,Quận 1,35000,50000,42500.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.0
29,Hà La Cà - Bánh Mì Bình Định & Bánh Cuốn Tây Sơn - Huỳnh Khương Ninh,"20 Huỳnh Khương Ninh, P. Đa Kao, Quận 1, TP. HCM",,0 - 0,Quận 1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.0
30,Con Gà Mái - Cơm Gà Phú Yên - Trần Cao Vân,"21A Trần Cao Vân, P. Đa Kao, Quận 1, TP. HCM",,10.000 - 280.000,Quận 1,10000,280000,145000.0,0,11,0,0,0,0,10,0,0,0,0,79,0,0,0,7.92
31,Xôi Chè Bùi Thị Xuân - Bùi Thị Xuân,"111 Bùi Thị Xuân, P. Phạm Ngũ Lão , Quận 1, TP. HCM",,25.000 - 55.000,Quận 1,25000,55000,40000.0,1,22,0,2,0,0,13,0,2,0,0,55,0,5,0,4.738
32,Gà Ta Xứ Quảng - Nguyễn Văn Cừ,"116 Nguyễn Văn Cừ, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",,10.000 - 300.000,Quận 1,10000,300000,155000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.8
33,"Bánh Bao, Há Cảo & Xíu Mại - Cô Giang","61/30 Cô Giang, P. Cầu Ông Lãnh, Quận 1, TP. HCM",,6.000 - 50.000,Quận 1,6000,50000,28000.0,0,6,0,0,0,0,1,0,0,0,0,28,0,0,0,7.348571428571428
34,Hủ Tiếu Mực Ông Già - Tôn Thất Thiệp,"62/3 Tôn Thất Thiệp, P. Bến Nghé, Quận 1, TP. HCM",06:00 - 21:00,30.000 - 50.000,Quận 1,30000,50000,40000.0,0,4,0,0,0,1,2,0,0,0,1,39,0,0,0,7.004255319148936
35,Cơm Gà Xối Mỡ 149 - Cơm Gà Mắm Tỏi,"149 Trần Quang Khải, P. Tân Định, Quận 1, TP. HCM",,40.000 - 65.000,Quận 1,40000,65000,52500.0,0,3,0,0,0,0,3,0,0,0,0,26,0,0,0,8.13125
36,Gỏi Cuốn & Bò Bía - Bùi Viện,"148/18 Bùi Viện, P. Phạm Ngũ Lão, Quận 1, TP. HCM",,6.000 - 150.000,Quận 1,6000,150000,78000.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8.4
37,Cháo Sườn Cô Dung,"52 Nguyễn Hữu Cầu, P. Tân Định, Quận 1, TP. HCM",07:00 - 11:00 | 16:30 - 21:00,15.000 - 30.000,Quận 1,15000,30000,22500.0,0,2,0,0,0,0,2,0,0,0,0,13,0,0,0,7.858823529411764
38,Bánh Bò Thốt Nốt COCOCake - Lò Bánh Minh Khai,"18A/29 Nguyễn Thị Minh Khai, P. Đa Kao, Quận 1, TP. HCM",,95.000 - 150.000,Quận 1,95000,150000,122500.0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,7.87
39,Wow Chicken - Gà Rán & Cơm Gà - Sương Nguyệt Ánh,"1A Ter Sương Nguyệt Ánh, P. Bến Thành, Quận 1, TP. HCM",,5.000 - 100.000,Quận 1,5000,100000,52500.0,0,3,0,0,0,0,2,0,0,0,0,24,0,0,0,8.303448275862069
